file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,108,css,967fb678,Jiya Makhija,2025-04-18,20:04:42,-07:00,2025-04-18T20:04:42-07:00,0,18
style.css,109,css,e3551c33,Jiya Makhija,2025-04-18,20:18:52,-07:00,2025-04-18T20:18:52-07:00,0,16
style.css,110,css,967fb678,Jiya Makhija,2025-04-18,20:04:42,-07:00,2025-04-18T20:04:42-07:00,0,17
style.css,111,css,8e08727e,Jiya Makhija,2025-04-18,21:37:28,-07:00,2025-04-18T21:37:28-07:00,0,23
style.css,112,css,5a707e06,Jiya Makhija,2025-04-18,21:00:12,-07:00,2025-04-18T21:00:12-07:00,0,12
style.css,113,css,44d2af3b,Jiya Makhija,2025-04-18,20:46:08,-07:00,2025-04-18T20:46:08-07:00,0,0
style.css,114,css,290f75d7,Jiya Makhija,2025-04-18,20:54:34,-07:00,2025-04-18T20:54:34-07:00,0,0
style.css,115,css,59ee505e,Jiya Makhija,2025-04-18,20:28:58,-07:00,2025-04-18T20:28:58-07:00,0,5
style.css,116,css,59ee505e,Jiya Makhija,2025-04-18,20:28:58,-07:00,2025-04-18T20:28:58-07:00,0,8
style.css,117,css,59ee505e,Jiya Makhija,2025-04-18,20:28:58,-07:00,2025-04-18T20:28:58-07:00,0,6
style.css,118,css,59ee505e,Jiya Makhija,2025-04-18,20:28:58,-07:00,2025-04-18T20:28:58-07:00,0,7
style.css,119,css,59ee505e,Jiya Makhija,2025-04-18,20:28:58,-07:00,2025-04-18T20:28:58-07:00,0,9
style.css,120,css,59ee505e,Jiya Makhija,2025-04-18,20:28:58,-07:00,2025-04-18T20:28:58-07:00,0,14
style.css,121,css,59ee505e,Jiya Makhija,2025-04-18,20:28:58,-07:00,2025-04-18T20:28:58-07:00,0,13
style.css,122,css,59ee505e,Jiya Makhija,2025-04-18,20:28:58,-07:00,2025-04-18T20:28:58-07:00,0,22
style.css,123,css,59ee505e,Jiya Makhija,2025-04-18,20:28:58,-07:00,2025-04-18T20:28:58-07:00,0,20
style.css,124,css,59ee505e,Jiya Makhija,2025-04-18,20:28:58,-07:00,2025-04-18T20:28:58-07:00,0,22
style.css,125,css,04bcf850,Jiya Makhija,2025-04-18,21:11:52,-07:00,2025-04-18T21:11:52-07:00,0,25
style.css,126,css,04bcf850,Jiya Makhija,2025-04-18,21:11:52,-07:00,2025-04-18T21:11:52-07:00,0,14
style.css,127,css,59ee505e,Jiya Makhija,2025-04-18,20:28:58,-07:00,2025-04-18T20:28:58-07:00,0,0
style.css,128,css,51cd09f5,Jiya Makhija,2025-04-18,20:25:49,-07:00,2025-04-18T20:25:49-07:00,0,0
style.css,129,css,0f90b571,Jiya Makhija,2025-04-10,19:00:47,-07:00,2025-04-10T19:00:47-07:00,0,10
style.css,130,css,0f90b571,Jiya Makhija,2025-04-10,19:00:47,-07:00,2025-04-10T19:00:47-07:00,0,13
style.css,131,css,0f90b571,Jiya Makhija,2025-04-10,19:00:47,-07:00,2025-04-10T19:00:47-07:00,0,59
style.css,132,css,0f90b571,Jiya Makhija,2025-04-10,19:00:47,-07:00,2025-04-10T19:00:47-07:00,0,10
style.css,133,css,0f90b571,Jiya Makhija,2025-04-10,19:00:47,-07:00,2025-04-10T19:00:47-07:00,0,16
style.css,134,css,0f90b571,Jiya Makhija,2025-04-10,19:00:47,-07:00,2025-04-10T19:00:47-07:00,0,12
style.css,135,css,0f90b571,Jiya Makhija,2025-04-10,19:00:47,-07:00,2025-04-10T19:00:47-07:00,0,18
style.css,136,css,9ec45e0f,Jiya Makhija,2025-04-10,19:03:12,-07:00,2025-04-10T19:03:12-07:00,0,0
style.css,137,css,9ec45e0f,Jiya Makhija,2025-04-10,19:03:12,-07:00,2025-04-10T19:03:12-07:00,0,18
style.css,138,css,9ec45e0f,Jiya Makhija,2025-04-10,19:03:12,-07:00,2025-04-10T19:03:12-07:00,0,13
style.css,139,css,9ec45e0f,Jiya Makhija,2025-04-10,19:03:12,-07:00,2025-04-10T19:03:12-07:00,0,27
style.css,140,css,9ec45e0f,Jiya Makhija,2025-04-10,19:03:12,-07:00,2025-04-10T19:03:12-07:00,0,16
style.css,141,css,9ec45e0f,Jiya Makhija,2025-04-10,19:03:12,-07:00,2025-04-10T19:03:12-07:00,0,12
style.css,142,css,4e4c9793,Jiya Makhija,2025-04-10,19:10:42,-07:00,2025-04-10T19:10:42-07:00,0,0
style.css,143,css,c11d62d3,Jiya Makhija,2025-04-11,12:23:02,-07:00,2025-04-11T12:23:02-07:00,0,0
style.css,144,css,4e4c9793,Jiya Makhija,2025-04-10,19:10:42,-07:00,2025-04-10T19:10:42-07:00,0,3
style.css,145,css,4e4c9793,Jiya Makhija,2025-04-10,19:10:42,-07:00,2025-04-10T19:10:42-07:00,0,15
style.css,146,css,4e4c9793,Jiya Makhija,2025-04-10,19:10:42,-07:00,2025-04-10T19:10:42-07:00,0,0
style.css,147,css,4e4c9793,Jiya Makhija,2025-04-10,19:10:42,-07:00,2025-04-10T19:10:42-07:00,0,7
